Mon Jun 29 03:35:14 2020 Epoch 1, lr: 0.0000300, train loss: 0.68620, val loss: 0.69695, acc: 22.72727, qwk: 0.06575
Mon Jun 29 15:43:55 2020 Epoch 6, lr: 0.0000300, train loss: 0.29679, val loss: 0.27578, acc: 55.59737, qwk: 0.82012
Mon Jun 29 16:27:45 2020 Epoch 7, lr: 0.0000030, train loss: 0.26550, val loss: 0.27106, acc: 56.49106, qwk: 0.82433
Mon Jun 29 17:12:26 2020 Epoch 8, lr: 0.0000196, train loss: 0.26655, val loss: 0.28874, acc: 53.62183, qwk: 0.81956
Mon Jun 29 17:56:01 2020 Epoch 9, lr: 0.0000104, train loss: 0.25039, val loss: 0.26431, acc: 54.37441, qwk: 0.83272
Mon Jun 29 18:39:45 2020 Epoch 10, lr: 0.0000029, train loss: 0.24003, val loss: 0.25721, acc: 57.19661, qwk: 0.83494
Tue Jun 30 19:43:56 2020 Epoch 1, lr: 0.0000300, train loss: 0.42401, val loss: 0.41437, acc: 14.15804, qwk: 0.34323
Tue Jun 30 20:27:14 2020 Epoch 2, lr: 0.0000840, train loss: 0.36108, val loss: 0.44157, acc: 15.47507, qwk: 0.40210
Tue Jun 30 21:28:59 2020 Epoch 1, lr: 0.0000300, train loss: 0.42705, val loss: 0.39450, acc: 13.21731, qwk: 0.32511
Tue Jun 30 22:17:13 2020 Epoch 2, lr: 0.0000840, train loss: 0.35736, val loss: 0.49247, acc: 16.50988, qwk: 0.48456
Tue Jun 30 23:05:17 2020 Epoch 3, lr: 0.0001380, train loss: 0.33240, val loss: 0.42585, acc: 13.45249, qwk: 0.16409
Tue Jun 30 23:53:30 2020 Epoch 4, lr: 0.0001920, train loss: 0.32365, val loss: 0.39370, acc: 15.61618, qwk: 0.29010
Wed Jul  1 00:41:46 2020 Epoch 5, lr: 0.0002460, train loss: 0.31633, val loss: 0.43563, acc: 16.18062, qwk: 0.37264
Wed Jul  1 01:39:33 2020 Epoch 1, lr: 0.0000300, train loss: 1.04859, val loss: 0.97758, acc: 14.15804, qwk: 0.41897
Wed Jul  1 02:23:00 2020 Epoch 2, lr: 0.0000840, train loss: 0.95064, val loss: 0.93049, acc: 13.73471, qwk: 0.40612
Wed Jul  1 03:15:29 2020 Epoch 1, lr: 0.0000300, train loss: 0.47276, val loss: 0.37471, acc: 46.89558, qwk: 0.74939
Wed Jul  1 03:59:01 2020 Epoch 2, lr: 0.0000840, train loss: 0.38215, val loss: 0.33158, acc: 47.50706, qwk: 0.77995
Wed Jul  1 04:42:40 2020 Epoch 3, lr: 0.0001380, train loss: 0.34589, val loss: 0.38379, acc: 51.97554, qwk: 0.72469
Wed Jul  1 05:26:13 2020 Epoch 4, lr: 0.0001920, train loss: 0.33448, val loss: 0.36207, acc: 54.37441, qwk: 0.78687
Wed Jul  1 06:09:49 2020 Epoch 5, lr: 0.0002460, train loss: 0.32154, val loss: 0.31135, acc: 57.80809, qwk: 0.80568
Wed Jul  1 06:53:24 2020 Epoch 6, lr: 0.0003000, train loss: 0.31690, val loss: 0.31164, acc: 57.71402, qwk: 0.83706
Wed Jul  1 07:37:01 2020 Epoch 7, lr: 0.0000300, train loss: 0.28322, val loss: 0.28999, acc: 63.35842, qwk: 0.84213
Wed Jul  1 08:20:36 2020 Epoch 8, lr: 0.0001964, train loss: 0.28886, val loss: 0.32402, acc: 59.17215, qwk: 0.77811
Wed Jul  1 09:04:12 2020 Epoch 9, lr: 0.0001036, train loss: 0.27572, val loss: 0.28649, acc: 62.08843, qwk: 0.84226
Wed Jul  1 09:47:43 2020 Epoch 10, lr: 0.0000286, train loss: 0.25086, val loss: 0.27526, acc: 65.66322, qwk: 0.85099
Wed Jul  1 17:23:21 2020 Epoch 1, lr: 0.0000300, train loss: 0.92889, val loss: 0.72508, acc: 46.89558, qwk: 0.75780
Wed Jul  1 18:06:35 2020 Epoch 2, lr: 0.0000840, train loss: 0.73408, val loss: 0.59137, acc: 56.16181, qwk: 0.81007
Wed Jul  1 18:49:56 2020 Epoch 3, lr: 0.0001380, train loss: 0.65151, val loss: 0.64583, acc: 51.08184, qwk: 0.80300
Wed Jul  1 19:33:17 2020 Epoch 4, lr: 0.0001920, train loss: 0.61762, val loss: 0.62556, acc: 59.31326, qwk: 0.80761
Wed Jul  1 20:16:39 2020 Epoch 5, lr: 0.0002460, train loss: 0.60898, val loss: 0.55728, acc: 55.07996, qwk: 0.84394
Wed Jul  1 21:00:01 2020 Epoch 6, lr: 0.0003000, train loss: 0.59766, val loss: 0.61507, acc: 51.92850, qwk: 0.80810
Wed Jul  1 21:43:30 2020 Epoch 7, lr: 0.0000300, train loss: 0.49729, val loss: 0.52147, acc: 62.60583, qwk: 0.84980
Wed Jul  1 22:26:58 2020 Epoch 8, lr: 0.0001964, train loss: 0.53092, val loss: 0.55276, acc: 57.76105, qwk: 0.85631
Wed Jul  1 23:10:29 2020 Epoch 9, lr: 0.0001036, train loss: 0.48304, val loss: 0.52987, acc: 61.28881, qwk: 0.85857
Wed Jul  1 23:53:53 2020 Epoch 10, lr: 0.0000286, train loss: 0.44320, val loss: 0.50635, acc: 64.11101, qwk: 0.86618
Thu Jul  2 01:19:15 2020 Epoch 1, lr: 0.0000300, train loss: 0.93132, val loss: 0.73519, acc: 31.37347, qwk: 0.71032
Thu Jul  2 02:02:34 2020 Epoch 2, lr: 0.0000840, train loss: 0.73732, val loss: 0.63164, acc: 54.98589, qwk: 0.79045
Thu Jul  2 02:45:52 2020 Epoch 3, lr: 0.0001380, train loss: 0.64741, val loss: 0.64087, acc: 51.17592, qwk: 0.79912
Thu Jul  2 03:29:08 2020 Epoch 4, lr: 0.0001920, train loss: 0.62011, val loss: 0.64084, acc: 58.70179, qwk: 0.78990
Thu Jul  2 04:12:32 2020 Epoch 5, lr: 0.0002460, train loss: 0.61183, val loss: 0.60628, acc: 57.33772, qwk: 0.80022
Thu Jul  2 04:55:56 2020 Epoch 6, lr: 0.0003000, train loss: 0.59707, val loss: 0.59096, acc: 57.43180, qwk: 0.80523
Thu Jul  2 05:39:23 2020 Epoch 7, lr: 0.0000300, train loss: 0.49676, val loss: 0.52178, acc: 62.13547, qwk: 0.85137
Thu Jul  2 06:22:47 2020 Epoch 8, lr: 0.0002953, train loss: 0.57428, val loss: 0.59675, acc: 54.04516, qwk: 0.84331
Thu Jul  2 07:06:15 2020 Epoch 9, lr: 0.0002895, train loss: 0.54569, val loss: 0.58585, acc: 53.76294, qwk: 0.81709
Thu Jul  2 07:49:39 2020 Epoch 10, lr: 0.0002814, train loss: 0.53038, val loss: 0.56229, acc: 64.11101, qwk: 0.82842
Thu Jul  2 08:33:04 2020 Epoch 11, lr: 0.0002714, train loss: 0.51169, val loss: 0.56294, acc: 58.93697, qwk: 0.84235
Thu Jul  2 09:16:26 2020 Epoch 12, lr: 0.0002593, train loss: 0.49818, val loss: 0.55513, acc: 58.98401, qwk: 0.84496
Thu Jul  2 09:59:45 2020 Epoch 13, lr: 0.0002456, train loss: 0.49003, val loss: 0.53160, acc: 63.92286, qwk: 0.84955
Thu Jul  2 10:43:17 2020 Epoch 14, lr: 0.0002304, train loss: 0.47089, val loss: 0.62098, acc: 63.35842, qwk: 0.79622
Thu Jul  2 11:26:42 2020 Epoch 15, lr: 0.0002139, train loss: 0.46003, val loss: 0.55528, acc: 62.32361, qwk: 0.85764
Thu Jul  2 12:10:09 2020 Epoch 16, lr: 0.0001964, train loss: 0.44221, val loss: 0.54391, acc: 64.62841, qwk: 0.84605
Thu Jul  2 12:53:35 2020 Epoch 17, lr: 0.0001781, train loss: 0.42285, val loss: 0.53264, acc: 65.00470, qwk: 0.85004
Thu Jul  2 13:37:01 2020 Epoch 18, lr: 0.0001594, train loss: 0.41114, val loss: 0.50180, acc: 66.32173, qwk: 0.86230
Thu Jul  2 14:20:31 2020 Epoch 19, lr: 0.0001406, train loss: 0.39000, val loss: 0.52722, acc: 66.65099, qwk: 0.85587
Thu Jul  2 15:03:56 2020 Epoch 20, lr: 0.0001219, train loss: 0.38151, val loss: 0.58528, acc: 64.15804, qwk: 0.86037
Thu Jul  2 15:47:22 2020 Epoch 21, lr: 0.0001036, train loss: 0.36365, val loss: 0.51292, acc: 65.71025, qwk: 0.85839
Thu Jul  2 16:30:44 2020 Epoch 22, lr: 0.0000861, train loss: 0.34274, val loss: 0.51825, acc: 65.38100, qwk: 0.86221
Thu Jul  2 17:14:11 2020 Epoch 23, lr: 0.0000696, train loss: 0.33099, val loss: 0.50511, acc: 65.14581, qwk: 0.85925
Thu Jul  2 17:57:38 2020 Epoch 24, lr: 0.0000544, train loss: 0.32510, val loss: 0.52544, acc: 65.80433, qwk: 0.85667
Thu Jul  2 18:41:06 2020 Epoch 25, lr: 0.0000407, train loss: 0.30992, val loss: 0.54228, acc: 65.85136, qwk: 0.85239
Thu Jul  2 19:24:33 2020 Epoch 26, lr: 0.0000286, train loss: 0.30417, val loss: 0.52902, acc: 66.18062, qwk: 0.85765
Thu Jul  2 20:08:07 2020 Epoch 27, lr: 0.0000186, train loss: 0.29137, val loss: 0.55097, acc: 66.18062, qwk: 0.85166
Thu Jul  2 20:54:39 2020 Epoch 28, lr: 0.0000105, train loss: 0.28344, val loss: 0.55128, acc: 66.18062, qwk: 0.84950
Thu Jul  2 21:42:51 2020 Epoch 29, lr: 0.0000047, train loss: 0.27856, val loss: 0.54712, acc: 65.75729, qwk: 0.85194
Thu Jul  2 22:30:07 2020 Epoch 30, lr: 0.0000012, train loss: 0.27971, val loss: 0.55036, acc: 65.80433, qwk: 0.85046
Thu Jul  2 23:27:36 2020 Epoch 1, lr: 0.0000600, train loss: 0.88534, val loss: 0.66289, acc: 50.65851, qwk: 0.80715
Fri Jul  3 00:11:02 2020 Epoch 2, lr: 0.0001080, train loss: 0.68355, val loss: 0.63058, acc: 53.76294, qwk: 0.79749
Fri Jul  3 00:54:31 2020 Epoch 3, lr: 0.0001560, train loss: 0.62445, val loss: 0.54299, acc: 58.37253, qwk: 0.83283
Fri Jul  3 01:37:58 2020 Epoch 4, lr: 0.0002040, train loss: 0.60537, val loss: 0.58361, acc: 57.57291, qwk: 0.84169
Fri Jul  3 02:21:25 2020 Epoch 5, lr: 0.0002520, train loss: 0.59668, val loss: 0.70266, acc: 45.90781, qwk: 0.80201
Fri Jul  3 03:04:54 2020 Epoch 6, lr: 0.0003000, train loss: 0.59523, val loss: 0.56827, acc: 58.98401, qwk: 0.83250
Fri Jul  3 03:48:26 2020 Epoch 7, lr: 0.0000600, train loss: 0.49219, val loss: 0.54738, acc: 62.27658, qwk: 0.85508
Fri Jul  3 04:31:56 2020 Epoch 8, lr: 0.0002953, train loss: 0.56344, val loss: 0.68464, acc: 60.15992, qwk: 0.83269
Fri Jul  3 05:15:26 2020 Epoch 9, lr: 0.0002895, train loss: 0.53802, val loss: 0.67770, acc: 52.96331, qwk: 0.81638
Fri Jul  3 05:58:55 2020 Epoch 10, lr: 0.0002814, train loss: 0.51619, val loss: 0.54556, acc: 62.32361, qwk: 0.83731
Fri Jul  3 06:42:25 2020 Epoch 11, lr: 0.0002714, train loss: 0.50581, val loss: 0.57533, acc: 63.17027, qwk: 0.82986
Fri Jul  3 07:25:59 2020 Epoch 12, lr: 0.0002593, train loss: 0.49293, val loss: 0.58923, acc: 59.87770, qwk: 0.81364
Fri Jul  3 08:09:30 2020 Epoch 13, lr: 0.0002456, train loss: 0.47680, val loss: 0.59194, acc: 62.04139, qwk: 0.84647
Fri Jul  3 08:53:07 2020 Epoch 14, lr: 0.0002304, train loss: 0.46803, val loss: 0.57987, acc: 64.34619, qwk: 0.83237
Fri Jul  3 09:36:30 2020 Epoch 15, lr: 0.0002139, train loss: 0.44914, val loss: 0.55946, acc: 64.29915, qwk: 0.85215
Fri Jul  3 10:19:55 2020 Epoch 16, lr: 0.0001964, train loss: 0.43565, val loss: nan, acc: 62.51176, qwk: 0.84941
Fri Jul  3 11:03:22 2020 Epoch 17, lr: 0.0001781, train loss: 0.41341, val loss: 0.54354, acc: 63.12324, qwk: 0.84927
Fri Jul  3 11:46:45 2020 Epoch 18, lr: 0.0001594, train loss: 0.39566, val loss: 0.56817, acc: 65.56914, qwk: 0.85527
Fri Jul  3 12:30:10 2020 Epoch 19, lr: 0.0001406, train loss: 0.37774, val loss: 0.52936, acc: 65.00470, qwk: 0.85555
Fri Jul  3 13:13:35 2020 Epoch 20, lr: 0.0001219, train loss: 0.37739, val loss: 0.54397, acc: 65.14581, qwk: 0.84992
Fri Jul  3 13:57:07 2020 Epoch 21, lr: 0.0001036, train loss: 0.35444, val loss: 0.55323, acc: 66.88617, qwk: 0.86661
Fri Jul  3 14:40:35 2020 Epoch 22, lr: 0.0000861, train loss: 0.33765, val loss: 0.54802, acc: 65.56914, qwk: 0.85801
Fri Jul  3 15:24:03 2020 Epoch 23, lr: 0.0000696, train loss: 0.32737, val loss: 0.52708, acc: 65.52211, qwk: 0.85630
Fri Jul  3 16:07:31 2020 Epoch 24, lr: 0.0000544, train loss: 0.31732, val loss: 0.55792, acc: 66.65099, qwk: 0.84287
Fri Jul  3 16:50:59 2020 Epoch 25, lr: 0.0000407, train loss: 0.29976, val loss: 0.53508, acc: 66.08655, qwk: 0.85484
Fri Jul  3 17:34:29 2020 Epoch 26, lr: 0.0000286, train loss: 0.29450, val loss: 0.56137, acc: 65.56914, qwk: 0.85633
Fri Jul  3 18:18:01 2020 Epoch 27, lr: 0.0000186, train loss: 0.28362, val loss: 0.53653, acc: 67.02728, qwk: 0.85815
Fri Jul  3 19:02:18 2020 Epoch 28, lr: 0.0000105, train loss: 0.27938, val loss: 0.53730, acc: 67.07432, qwk: 0.86006
Fri Jul  3 19:45:49 2020 Epoch 29, lr: 0.0000047, train loss: 0.28231, val loss: 0.54355, acc: 66.60395, qwk: 0.85748
Fri Jul  3 20:29:24 2020 Epoch 30, lr: 0.0000012, train loss: 0.28243, val loss: 0.54083, acc: 67.77987, qwk: 0.85957
Sat Jul  4 03:16:57 2020 Epoch 1, lr: 0.0000300, train loss: 0.94141, val loss: 0.68427, acc: 47.27187, qwk: 0.77962
Sat Jul  4 04:00:14 2020 Epoch 2, lr: 0.0000480, train loss: 0.72155, val loss: 0.60585, acc: 55.97366, qwk: 0.81588
Sat Jul  4 04:43:36 2020 Epoch 3, lr: 0.0000660, train loss: 0.63991, val loss: 0.59359, acc: 57.14958, qwk: 0.81891
Sat Jul  4 05:27:04 2020 Epoch 4, lr: 0.0000840, train loss: 0.60657, val loss: 0.57836, acc: 59.45437, qwk: 0.83015
Sat Jul  4 06:10:28 2020 Epoch 5, lr: 0.0001020, train loss: 0.56902, val loss: 0.58477, acc: 59.64252, qwk: 0.81988
Sat Jul  4 06:53:54 2020 Epoch 6, lr: 0.0001200, train loss: 0.55989, val loss: 0.53468, acc: 58.74882, qwk: 0.84784
Sat Jul  4 07:37:20 2020 Epoch 7, lr: 0.0001380, train loss: 0.54812, val loss: 0.60085, acc: 56.39699, qwk: 0.82796
Sat Jul  4 08:20:50 2020 Epoch 8, lr: 0.0001560, train loss: 0.53562, val loss: 0.53200, acc: 58.65475, qwk: 0.84452
Sat Jul  4 09:04:17 2020 Epoch 9, lr: 0.0001740, train loss: 0.52918, val loss: 0.57431, acc: 59.31326, qwk: 0.84620
Sat Jul  4 09:47:44 2020 Epoch 10, lr: 0.0001920, train loss: 0.52372, val loss: 0.57991, acc: 59.26623, qwk: 0.81517
Sat Jul  4 10:31:43 2020 Epoch 11, lr: 0.0002100, train loss: 0.50719, val loss: 0.60830, acc: 63.31138, qwk: 0.79589
Sat Jul  4 11:15:18 2020 Epoch 12, lr: 0.0002280, train loss: 0.51166, val loss: 0.54524, acc: 60.39511, qwk: 0.84517
Sat Jul  4 11:58:35 2020 Epoch 13, lr: 0.0002460, train loss: 0.50752, val loss: 0.60003, acc: 50.94073, qwk: 0.81559
Sat Jul  4 12:41:53 2020 Epoch 14, lr: 0.0002640, train loss: 0.50991, val loss: 0.59853, acc: 61.80621, qwk: 0.84339
Sat Jul  4 13:25:11 2020 Epoch 15, lr: 0.0002820, train loss: 0.51047, val loss: 0.62213, acc: 57.76105, qwk: 0.81572
Sat Jul  4 14:08:30 2020 Epoch 16, lr: 0.0003000, train loss: 0.50567, val loss: 0.55498, acc: 61.85325, qwk: 0.85631
Sat Jul  4 14:51:54 2020 Epoch 17, lr: 0.0000300, train loss: 0.42280, val loss: 0.51531, acc: 63.07620, qwk: 0.85531
Sat Jul  4 15:35:16 2020 Epoch 18, lr: 0.0002870, train loss: 0.49311, val loss: 0.51731, acc: 60.91251, qwk: 0.85164
Sat Jul  4 16:18:37 2020 Epoch 19, lr: 0.0002714, train loss: 0.47393, val loss: 0.55224, acc: 61.10066, qwk: 0.85672
Sat Jul  4 17:02:00 2020 Epoch 20, lr: 0.0002504, train loss: 0.45089, val loss: 0.63134, acc: 63.78175, qwk: 0.83262
Sat Jul  4 17:45:24 2020 Epoch 21, lr: 0.0002250, train loss: 0.43072, val loss: nan, acc: 60.58325, qwk: 0.85028
Sat Jul  4 18:28:48 2020 Epoch 22, lr: 0.0001964, train loss: 0.41773, val loss: 0.54175, acc: 64.72248, qwk: 0.85406
Sat Jul  4 19:12:12 2020 Epoch 23, lr: 0.0001657, train loss: 0.39644, val loss: 0.51061, acc: 65.28692, qwk: 0.86761
Sat Jul  4 19:56:01 2020 Epoch 24, lr: 0.0001343, train loss: 0.37625, val loss: 0.52871, acc: 66.50988, qwk: 0.86003
Sat Jul  4 20:39:22 2020 Epoch 25, lr: 0.0001036, train loss: 0.35694, val loss: 0.53077, acc: 66.27469, qwk: 0.85622
Sat Jul  4 21:23:07 2020 Epoch 26, lr: 0.0000750, train loss: 0.32653, val loss: 0.56348, acc: 67.16839, qwk: 0.84505
Sat Jul  4 22:07:12 2020 Epoch 27, lr: 0.0000496, train loss: 0.31717, val loss: 0.53922, acc: 67.16839, qwk: 0.85072
Sat Jul  4 22:50:21 2020 Epoch 28, lr: 0.0000286, train loss: 0.29948, val loss: 0.52225, acc: 68.15616, qwk: 0.86353
Sat Jul  4 23:33:53 2020 Epoch 29, lr: 0.0000130, train loss: 0.29502, val loss: 0.51684, acc: 67.92098, qwk: 0.86170
Sun Jul  5 00:17:16 2020 Epoch 30, lr: 0.0000033, train loss: 0.28142, val loss: 0.52566, acc: 67.30950, qwk: 0.85900
Sun Jul  5 01:44:53 2020 Epoch 1, lr: 0.0000300, train loss: 0.11281, val loss: 0.08668, acc: 20.08467, qwk: 0.55607
Sun Jul  5 02:28:23 2020 Epoch 2, lr: 0.0000480, train loss: 0.08671, val loss: 0.07401, acc: 22.62465, qwk: 0.67394
Sun Jul  5 03:11:52 2020 Epoch 3, lr: 0.0000660, train loss: 0.07804, val loss: 0.07030, acc: 24.41204, qwk: 0.69273
Sun Jul  5 03:55:20 2020 Epoch 4, lr: 0.0000840, train loss: 0.07332, val loss: 0.07067, acc: 23.18909, qwk: 0.68238
Sun Jul  5 04:38:48 2020 Epoch 5, lr: 0.0001020, train loss: 0.07015, val loss: 0.06782, acc: 22.90687, qwk: 0.69301
Sun Jul  5 05:22:17 2020 Epoch 6, lr: 0.0001200, train loss: 0.06776, val loss: 0.06845, acc: 21.87206, qwk: 0.65481
Sun Jul  5 06:05:43 2020 Epoch 7, lr: 0.0001380, train loss: 0.06581, val loss: 0.07408, acc: 23.33020, qwk: 0.64879
Sun Jul  5 06:49:11 2020 Epoch 8, lr: 0.0001560, train loss: 0.06402, val loss: 0.08029, acc: 47.78928, qwk: 0.77797
Sun Jul  5 07:32:39 2020 Epoch 9, lr: 0.0001740, train loss: 0.06451, val loss: 0.07144, acc: 26.85795, qwk: 0.67244
Sun Jul  5 08:16:05 2020 Epoch 10, lr: 0.0001920, train loss: 0.06247, val loss: 0.06797, acc: 36.68862, qwk: 0.74790
Sun Jul  5 08:59:31 2020 Epoch 11, lr: 0.0002100, train loss: 0.06212, val loss: 0.06806, acc: 33.67827, qwk: 0.77023
Sun Jul  5 09:42:59 2020 Epoch 12, lr: 0.0002280, train loss: 0.06219, val loss: 0.06586, acc: 33.67827, qwk: 0.73814
Sun Jul  5 10:26:33 2020 Epoch 13, lr: 0.0002460, train loss: 0.06028, val loss: 0.09161, acc: 44.92004, qwk: 0.77246
Sun Jul  5 11:09:58 2020 Epoch 14, lr: 0.0002640, train loss: 0.06066, val loss: 0.07417, acc: 27.14017, qwk: 0.69059
Sun Jul  5 11:53:28 2020 Epoch 15, lr: 0.0002820, train loss: 0.05998, val loss: 0.08239, acc: 35.46566, qwk: 0.70825
Sun Jul  5 12:36:58 2020 Epoch 16, lr: 0.0003000, train loss: 0.06073, val loss: 0.11226, acc: 25.82314, qwk: 0.63727
Sun Jul  5 13:20:26 2020 Epoch 17, lr: 0.0000300, train loss: 0.04776, val loss: 0.06915, acc: 40.54563, qwk: 0.80022
Sun Jul  5 14:03:55 2020 Epoch 18, lr: 0.0002870, train loss: 0.05752, val loss: 0.08210, acc: 42.56820, qwk: 0.80295
Sun Jul  5 14:47:24 2020 Epoch 19, lr: 0.0002714, train loss: 0.05592, val loss: 0.08146, acc: 46.23706, qwk: 0.80417
Sun Jul  5 15:30:54 2020 Epoch 20, lr: 0.0002504, train loss: 0.05323, val loss: 0.07627, acc: 43.41486, qwk: 0.77013
Sun Jul  5 16:14:22 2020 Epoch 21, lr: 0.0002250, train loss: 0.04904, val loss: 0.07509, acc: 43.65005, qwk: 0.76869
Sun Jul  5 16:57:51 2020 Epoch 22, lr: 0.0001964, train loss: 0.04580, val loss: 0.11281, acc: 53.57479, qwk: 0.83041
Sun Jul  5 17:41:18 2020 Epoch 23, lr: 0.0001657, train loss: 0.04282, val loss: 0.08061, acc: 55.87959, qwk: 0.84403
Sun Jul  5 18:24:47 2020 Epoch 24, lr: 0.0001343, train loss: 0.04015, val loss: 0.07297, acc: 53.57479, qwk: 0.83738
Sun Jul  5 19:08:20 2020 Epoch 25, lr: 0.0001036, train loss: 0.03669, val loss: 0.07445, acc: 52.39887, qwk: 0.83365
Sun Jul  5 19:52:17 2020 Epoch 26, lr: 0.0000750, train loss: 0.03260, val loss: 0.07501, acc: 58.93697, qwk: 0.85225
Sun Jul  5 20:36:15 2020 Epoch 27, lr: 0.0000496, train loss: 0.03088, val loss: 0.08516, acc: 60.95955, qwk: 0.85450
Sun Jul  5 21:19:56 2020 Epoch 28, lr: 0.0000286, train loss: 0.02878, val loss: 0.08856, acc: 59.92474, qwk: 0.85036
Sun Jul  5 22:03:42 2020 Epoch 29, lr: 0.0000130, train loss: 0.02681, val loss: 0.08557, acc: 60.25400, qwk: 0.85290
Sun Jul  5 22:47:32 2020 Epoch 30, lr: 0.0000033, train loss: 0.02655, val loss: 0.08476, acc: 60.58325, qwk: 0.85479
Mon Jul  6 02:47:07 2020 Epoch 1, lr: 0.0000300, train loss: 0.66524, val loss: 0.49147, acc: 30.76199, qwk: 0.69760
Mon Jul  6 03:31:03 2020 Epoch 2, lr: 0.0000480, train loss: 0.52404, val loss: 0.48309, acc: 37.95861, qwk: 0.79069
Mon Jul  6 04:15:32 2020 Epoch 3, lr: 0.0000660, train loss: 0.47439, val loss: 0.44280, acc: 41.43932, qwk: 0.76781
Mon Jul  6 04:59:55 2020 Epoch 4, lr: 0.0000840, train loss: 0.43606, val loss: 0.43837, acc: 53.10442, qwk: 0.81810
Mon Jul  6 05:43:51 2020 Epoch 5, lr: 0.0001020, train loss: 0.41739, val loss: 0.50494, acc: 49.52963, qwk: 0.76570
Mon Jul  6 06:27:46 2020 Epoch 6, lr: 0.0001200, train loss: 0.40683, val loss: 0.41235, acc: 45.43744, qwk: 0.80565
Mon Jul  6 07:11:39 2020 Epoch 7, lr: 0.0001380, train loss: 0.40139, val loss: 0.40460, acc: 53.33960, qwk: 0.82909
Mon Jul  6 07:55:35 2020 Epoch 8, lr: 0.0001560, train loss: 0.38615, val loss: 0.50257, acc: 38.42897, qwk: 0.79162
Mon Jul  6 08:39:31 2020 Epoch 9, lr: 0.0001740, train loss: 0.38455, val loss: 0.40116, acc: 57.71402, qwk: 0.85120
Mon Jul  6 09:23:25 2020 Epoch 10, lr: 0.0001920, train loss: 0.38459, val loss: 0.41409, acc: 53.62183, qwk: 0.83114
Mon Jul  6 10:07:19 2020 Epoch 11, lr: 0.0002100, train loss: 0.37817, val loss: 0.44483, acc: 54.89182, qwk: 0.82481
Mon Jul  6 10:51:09 2020 Epoch 12, lr: 0.0002280, train loss: 0.36961, val loss: 0.46841, acc: 57.00847, qwk: 0.80518
Mon Jul  6 11:34:24 2020 Epoch 13, lr: 0.0002460, train loss: 0.37161, val loss: 0.44126, acc: 51.55221, qwk: 0.82361
Mon Jul  6 12:17:49 2020 Epoch 14, lr: 0.0002640, train loss: 0.37352, val loss: 0.46256, acc: 50.89370, qwk: 0.83466
Mon Jul  6 13:00:56 2020 Epoch 15, lr: 0.0002820, train loss: 0.37467, val loss: 0.41625, acc: 59.68956, qwk: 0.84090
Mon Jul  6 13:44:16 2020 Epoch 16, lr: 0.0003000, train loss: 0.36696, val loss: 0.47121, acc: 61.94732, qwk: 0.83037
Mon Jul  6 14:27:43 2020 Epoch 17, lr: 0.0000300, train loss: 0.31207, val loss: 0.38275, acc: 62.98213, qwk: 0.86338
Mon Jul  6 15:10:44 2020 Epoch 18, lr: 0.0002870, train loss: 0.35958, val loss: 0.45859, acc: 60.34807, qwk: 0.85305
